time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	L5_S1_Flex_Ext	L5_S1_Lat_Bending	L5_S1_axial_rotation	neck_flexion	neck_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
0.15000000	-0.57532907	1.67299551	0.29667549	-1.32054793	-0.05821134	0.96814321	0.00130621	-0.02498958	-0.02442087	0.73717944	0.16969991	-0.34906585	-0.52359878	0.42348665	0.25242777	0.44868211	0.54412682	1.04719755	0.34906585	0.23382910	-0.27031425	-0.29101398	0.17002761	0.01823753	0.06696613	0.04710668	-0.19005940	-0.42555752	-0.41601089	1.31629749	1.47201335	0.00000000	0.00000000	-0.15828831	-0.51035758	-0.18336229	0.66502798	1.51848330	0.00000000	0.00000000
0.16666667	-0.94492203	1.63984292	0.67619276	-1.31697346	-0.06505602	0.97087186	-0.01319444	0.02732201	-0.06358357	0.67966633	0.06570723	-0.34628046	-0.48968002	0.41501122	0.05679187	-0.06544808	0.43861751	0.17681021	-0.34906585	0.45614570	-0.27233989	-0.27304699	0.14597711	-0.03315434	0.07467597	0.05524890	-0.15125657	-0.44737857	-0.36826530	1.34827534	1.45722346	0.00000000	0.00000000	-0.14934003	-0.52791112	-0.18554605	0.64977987	1.50833954	0.00000000	0.00000000
0.18333333	-1.35744626	1.67114536	0.97544706	-1.30505261	-0.07645973	0.97620959	-0.06440067	0.02066549	0.03964917	0.64768268	0.15316280	-0.34906585	-0.16205735	0.33109623	-0.07226100	-0.44251166	0.27147399	-0.03342652	-0.11164033	0.52359878	-0.26394808	-0.31154382	0.27125397	-0.15384913	0.09011758	0.07662050	-0.21145448	-0.46277895	-0.46183874	1.38944647	1.42131410	0.00000000	0.00000000	-0.16605315	-0.52531157	-0.19425232	0.66538934	1.49116551	0.00000000	0.00000000
0.20000000	-1.25824860	1.63278968	0.91657221	-1.29029475	-0.08204854	0.97255115	-0.02997992	0.07366759	0.07510334	0.72505296	0.37220619	-0.30952637	-0.26995109	0.36181058	-0.08282446	-0.37171334	0.21708699	-0.09377921	-0.12297597	0.52359878	-0.21825963	-0.31719416	0.23814168	-0.14844405	0.08093253	0.05189656	-0.20170207	-0.48860834	-0.44524037	1.45330356	1.40117566	0.00000000	0.00000000	-0.18888526	-0.56138465	-0.18752756	0.67480822	1.47793642	0.00000000	0.00000000
0.21666667	-1.19354734	1.63334411	0.89008524	-1.28168680	-0.08604710	0.97502643	-0.00104693	0.08403235	0.05345159	0.80129995	0.45054354	-0.30781228	-0.48259824	0.37329483	-0.05984123	-0.24131781	0.26249257	-0.05158039	-0.17761631	0.51727565	-0.23010114	-0.35323294	0.18635819	-0.16839911	0.08855644	0.04319262	-0.15081880	-0.48867605	-0.42658200	1.49287921	1.38477064	0.00000000	0.00000000	-0.19299951	-0.59913085	-0.20069331	0.70156768	1.46513194	0.00000000	0.00000000
0.23333333	-1.22374107	1.72236365	0.82933564	-1.28551140	-0.09364531	0.97036960	0.01087703	0.00581825	0.10987934	0.96546315	0.59857258	-0.10726050	-0.52359878	0.40129575	-0.05427468	-0.30109048	0.50889766	0.12693827	-0.24265405	0.52212255	-0.34817527	-0.44300097	0.18681986	0.13165500	0.07940691	0.25266245	-0.38228150	-0.59824838	-0.68708920	0.00000000	1.38731371	0.00000000	0.00000000	-0.23214177	-0.63763417	-0.19122295	0.76857020	1.45126662	0.00000000	0.00000000
0.25000000	-2.01518425	1.81094513	1.55079711	-1.27103139	-0.08830249	0.98583449	-0.11478334	0.01987706	0.05891559	0.96117389	0.53924463	0.30857277	-0.52359878	0.37775860	-0.18770011	-0.23851348	0.74695990	0.22431861	-0.33012884	0.52359878	-0.45055586	-0.40155855	0.32163127	0.22209047	0.29429787	0.15438078	-0.31752061	-0.65738629	-0.56679967	0.37084764	1.28287330	0.00000000	0.00000000	-0.18227957	-0.58898897	-0.21366773	0.81063235	1.42616505	0.00000000	0.00000000
0.26666667	-1.31674257	1.60966927	0.85140050	-1.24484927	-0.10415975	0.96570362	0.15309982	-0.00484258	0.06412860	1.06683161	0.45204525	0.31154497	-0.52359878	0.60404795	-0.21140870	-0.33246290	0.79798393	0.42522448	-0.33201136	0.52359878	-0.14814903	-0.46920672	0.26954480	0.10478535	0.38155728	0.13058999	-0.30226688	-0.56487057	-0.64483912	1.22543037	1.22484941	0.00000000	0.00000000	-0.34541644	-0.67389648	-0.21624413	0.75548315	1.40828923	0.00000000	0.00000000
0.28333333	-2.18329055	1.76631484	1.71632327	-1.23882420	-0.09436493	0.97406158	0.03623288	0.00348693	0.01310228	1.13152265	0.40647299	0.34906585	-0.52359878	0.43381752	-0.23168522	-0.29174529	0.87926795	0.50135678	-0.34906585	0.52359878	-0.35109160	-0.40719418	0.30679312	0.14381780	0.25828564	0.19659657	-0.30933361	-0.65205978	-0.71497918	1.62421436	1.09686026	0.00000000	0.00000000	-0.21949865	-0.62811651	-0.18800813	0.76226952	1.38724617	0.00000000	0.00000000
0.30000000	-2.24867939	1.78972064	1.80879828	-1.23084999	-0.09567979	0.97425258	0.07153039	-0.01292528	-0.03954802	1.20436400	0.41793644	0.34906585	-0.52359878	0.43109326	-0.23230212	-0.22583482	0.91826381	0.44743470	-0.34906585	0.52359878	-0.34015679	-0.40178081	0.26002228	0.02758935	0.19158161	0.08365211	-0.15172583	-0.73534091	-0.57520976	1.68708928	1.01299853	0.00000000	0.00000000	-0.20146397	-0.66305881	-0.10687756	0.67426997	1.37702082	0.00000000	0.00000000
